played_at,artist,track,album,'album_type'
2025-02-11,Elsa y Elmar,Pelo Suelto,Pelo Suelto,single
2025-02-11,Conociendo Rusia,Se Me Hizo Tarde,La Dirección,album
2025-02-11,Conociendo Rusia,Tu Encanto,Tu Encanto,single
2025-02-11,Conociendo Rusia,Te Lo Voy a Decir,Jet Love,album
2025-02-11,Conociendo Rusia,Puede Ser,Cabildo y Juramento,album
2025-02-11,Conociendo Rusia,Cinco Horas Menos,Jet Love,album
2025-02-11,Conociendo Rusia,A la Vez,A la Vez,single
2025-02-11,Conociendo Rusia,Cabildo y Juramento,Cabildo y Juramento,album
2025-02-11,Conociendo Rusia,Loco en el Desierto,Conociendo Rusia,album
2025-02-11,Conociendo Rusia,Quiero Que Me Llames,Cabildo y Juramento,album
2025-02-11,La ola que quería ser chau,A vos no te importa nadie,La Fuerza Del Cariño,album
2025-02-11,Las Ligas Menores,En Invierno,Fuego Artificial,album
2025-02-11,Hojas por el Barrio,Malambo de Acero,Malambo de Acero,single
2025-02-11,Tigre Ulli,Especial T,Tigre Ulli,album
2025-02-11,El Mató a un Policía Motorizado,Las Luces,La Sintesis O'Konor,album
2025-02-11,Julen y la Gente Sola,La Chica del Mantenimiento,Julen y la Gente Sola,album
2025-02-11,La ola que quería ser chau,Un lugar donde no estemos,La Peste Rosa,album
2025-02-11,Las Ligas Menores,Hice Todo Mal,Hice Todo Mal,single
2025-02-11,Tigre Ulli,Malos Sentimientos,Sombra de Tiburón,album
2025-02-11,Nina Suárez,Corrida al Arco,Algo Para Decirte,album
2025-02-11,Hojas por el Barrio,La Gloria,Vuelvo de Madrugada,album
2025-02-11,Julen y la Gente Sola,Nunca Viajé en Aviones,Julen y la Gente Sola,album
2025-02-11,La ola que quería ser chau,El basurero,La Fuerza Del Cariño,album
2025-02-11,Las Ligas Menores,Renault Fuego,Las Ligas Menores,album
2025-02-11,Tigre Ulli,El Buen Fantasma,Sombra de Tiburón,album
2025-02-11,Nina Suárez,Algo Para Decirte,Algo Para Decirte,album
2025-02-11,Hojas por el Barrio,Nos Pasa Lo Mismo,Nos Pasa Lo Mismo,single
2025-02-11,Julen y la Gente Sola,El Último Día de Sofía,Julen y la Gente Sola,album
2025-02-11,La ola que quería ser chau,Ojalá que este verano no nos maten,La Fuerza Del Cariño,album
2025-02-11,Las Ligas Menores,Vigilantes del Espejo,Vigilantes del Espejo,single
2025-02-11,Tigre Ulli,San Juan,San Juan,single
2025-02-11,La ola que quería ser chau,Brisa de amor,La Fuerza Del Cariño,album
2025-02-11,Nina Suárez,Batalla Naval,Algo Para Decirte,album
2025-02-11,El Mató a un Policía Motorizado,El Número Mágico,Súper Terror,album
2025-02-11,Las Ligas Menores,Tema 7,Las Ligas Menores,album
2025-02-11,Tigre Ulli,La Tormenta,Sombra de Tiburón,album
2025-02-11,Julen y la Gente Sola,Funeraria,Para Siempre,album
2025-02-11,La ola que quería ser chau,Canción robada,La Fuerza Del Cariño,album
2025-02-11,Nina Suárez,Quequén,Algo Para Decirte,album
2025-02-11,Hojas por el Barrio,Creer en Mí Otra Vez,Creer en Mí Otra Vez,single
2025-02-11,Tigre Ulli,Noche Azul,Tigre Ulli,album
2025-02-11,Andrés Calamaro,Flaca,Alta Suciedad,album
2025-02-02,Tan Bionica,Tus Ojos Mil,Destinologia,album
2025-02-02,Tan Bionica,Chica Biónica,Canciones del Huracan + Wonderful Noches,album
2025-02-02,Tan Bionica,La Manera Que Eligió Para Matarme,Hola Mundo,album
2025-02-02,Tan Bionica,Un Poco Perdido,Hola Mundo,album
2025-02-02,Tan Bionica,Los Mismos Siempre,Los Mismos Siempre,single
2025-02-02,Tan Bionica,La Melodía de Dios,Destinologia,album
2025-02-02,Tan Bionica,Arruinarse,Canciones del Huracan + Wonderful Noches,album
2025-02-02,Tan Bionica,Ella,Obsesionario,album
